old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c1_1[0],part1_question_01_yes,checkbox,"0","[538.600, 624.967, 548.600, 634.967]"
c1_1[1],part1_question_01_no,checkbox,"0","[560.200, 624.967, 570.200, 634.967]"
c1_2[0],part1_question_02_yes,checkbox,"0","[538.600, 612.968, 548.600, 622.968]"
c1_2[1],part1_question_02_no,checkbox,"0","[560.200, 612.968, 570.200, 622.968]"
c1_3[0],part1_question_03_yes,checkbox,"0","[538.600, 600.969, 548.600, 610.969]"
c1_3[1],part1_question_03_no,checkbox,"0","[560.200, 600.969, 570.200, 610.969]"
c1_4[0],part1_question_04_yes,checkbox,"0","[538.600, 576.969, 548.600, 586.969]"
c1_4[1],part1_question_04_no,checkbox,"0","[560.200, 576.969, 570.200, 586.969]"
c1_5[0],part1_question_05_yes,checkbox,"0","[538.600, 540.969, 548.600, 550.969]"
c1_5[1],part1_question_05_no,checkbox,"0","[560.200, 540.969, 570.200, 550.969]"
c1_6[0],part1_question_06_yes,checkbox,"0","[538.600, 504.968, 548.600, 514.968]"
c1_6[1],part1_question_06_no,checkbox,"0","[560.200, 504.968, 570.200, 514.968]"
f1_01[0],taxpayer_name,text,"0","[36.000, 683.968, 460.050, 697.969]"
f1_02[0],taxpayer_ssn,text,"0","[460.800, 683.968, 576.000, 697.969]"
f1_03[0],part2_line_01_amount,text,"0","[504.000, 479.970, 576.000, 491.969]"
f1_04[0],part2_line_02_amount,text,"0","[504.000, 467.971, 576.000, 479.970]"
f1_05[0],part2_line_03_amount,text,"0","[504.000, 383.969, 576.000, 395.968]"
f1_06[0],part2_line_04_amount,text,"0","[504.000, 371.970, 576.000, 383.969]"
f1_07[0],part2_line_05_amount,text,"0","[504.000, 359.968, 576.000, 371.967]"
f1_08[0],part2_line_06_amount,text,"0","[504.000, 347.969, 576.000, 359.968]"
f1_09[0],part2_line_07_amount,text,"0","[504.000, 323.968, 576.000, 335.967]"
f1_10[0],part2_line_08_amount,text,"0","[410.400, 311.969, 481.650, 323.968]"
f1_11[0],part2_line_09_amount,text,"0","[316.800, 287.968, 388.050, 299.967]"
f1_12[0],part2_line_10_amount,text,"0","[410.400, 275.969, 481.650, 287.968]"
f1_13[0],part2_line_11_amount,text,"0","[504.000, 263.970, 576.000, 275.969]"
f1_14[0],part2_line_12_amount,text,"0","[504.000, 251.968, 576.000, 263.967]"
f1_15[0],part2_line_13_amount,text,"0","[504.000, 239.969, 576.000, 251.968]"
f1_16[0],part2_line_14_amount,text,"0","[504.000, 227.970, 576.000, 239.969]"
f1_17[0],part2_line_15_amount,text,"0","[410.400, 203.969, 432.000, 215.968]"
f1_18[0],part2_line_16_amount,text,"0","[439.200, 203.969, 482.400, 215.968]"
f1_19[0],part2_line_17_amount,text,"0","[410.400, 191.970, 481.650, 203.969]"
f1_20[0],part2_line_18_amount,text,"0","[410.400, 179.968, 481.650, 191.967]"
f1_21[0],part2_line_19_amount,text,"0","[504.000, 167.969, 576.000, 179.968]"
f1_22[0],part2_line_20_amount,text,"0","[504.000, 155.970, 576.000, 167.969]"
f1_23[0],part2_line_21_amount,text,"0","[504.000, 131.969, 576.000, 143.968]"
f1_24[0],part2_line_22_amount,text,"0","[410.400, 119.970, 481.650, 131.969]"
f1_25[0],part2_line_23_amount,text,"0","[410.400, 107.968, 481.650, 119.967]"
f1_26[0],part2_line_24_amount,text,"0","[504.000, 95.969, 576.000, 107.968]"
f1_27[0],part2_line_25_amount,text,"0","[504.000, 83.970, 576.000, 95.969]"
f1_28[0],part2_line_26_amount,text,"0","[504.000, 59.969, 576.000, 71.968]"
f3_01[0],part3_worksheet_line_01_amount,text,"2","[525.600, 436.320, 576.000, 448.319]"
f3_02[0],part3_worksheet_line_02_amount,text,"2","[525.600, 412.319, 576.000, 424.320]"
f3_03[0],part3_worksheet_line_03_amount,text,"2","[525.600, 376.319, 576.000, 388.319]"
f3_04[0],part3_worksheet_line_04_amount,text,"2","[518.400, 335.970, 576.000, 347.969]"
f3_05[0],part3_worksheet_line_05_amount,text,"2","[518.400, 323.968, 576.000, 335.967]"
f3_06[0],part3_worksheet_line_06_amount,text,"2","[518.400, 299.967, 532.800, 311.966]"
f3_07[0],part3_worksheet_line_07_amount,text,"2","[539.388, 299.967, 576.000, 311.966]"
f3_08[0],part3_worksheet_line_08_amount,text,"2","[518.400, 287.968, 576.000, 299.967]"
f3_09[0],part3_worksheet_line_09_amount,text,"2","[518.400, 275.969, 576.000, 287.968]"
f3_10[0],part3_worksheet_line_10_amount,text,"2","[518.400, 263.970, 576.000, 275.969]"
f3_11[0],part3_worksheet_line_11_amount,text,"2","[518.400, 233.968, 576.000, 245.967]"
f3_12[0],part3_worksheet_line_12_amount,text,"2","[518.400, 179.968, 576.000, 191.967]"
f3_13[0],part3_worksheet_line_13_amount,text,"2","[518.400, 155.970, 576.000, 167.969]"
f3_14[0],part3_worksheet_line_14_amount,text,"2","[518.400, 131.969, 532.800, 143.968]"
f3_15[0],part3_worksheet_line_15_amount,text,"2","[540.000, 131.969, 576.000, 143.968]"
f3_16[0],part3_worksheet_line_16_amount,text,"2","[518.400, 119.970, 576.000, 131.969]"
f3_17[0],part3_worksheet_line_17_amount,text,"2","[518.400, 95.969, 576.000, 107.968]"
f3_18[0],part3_worksheet_line_18_amount,text,"2","[518.400, 83.970, 576.000, 95.969]"
