old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c2_1[0],paid_preparer_self_employed_checkbox,checkbox,"1","[482.199, 156.970, 490.199, 164.970]"
f1_01[0],taxpayer_name,text,"0","[36.000, 683.968, 460.050, 697.969]"
f1_02[0],taxpayer_ssn,text,"0","[461.800, 683.968, 576.000, 697.969]"
f1_03[0],home_address_street,text,"0","[123.400, 659.967, 496.050, 673.968]"
f1_04[0],home_address_apt_no,text,"0","[497.800, 659.967, 576.000, 673.968]"
f1_05[0],home_address_city_state_zip,text,"0","[123.400, 635.966, 576.000, 649.967]"
f1_06[0],foreign_country_name,text,"0","[123.400, 611.968, 301.650, 625.969]"
f1_07[0],foreign_province_state_county,text,"0","[303.400, 611.968, 460.050, 625.969]"
f1_08[0],foreign_postal_code,text,"0","[461.800, 611.968, 576.000, 625.969]"
f1_09[0],part1_line1_nondeductible_contributions,text,"0","[504.000, 419.969, 576.000, 431.968]"
f1_10[0],part1_line2_total_basis_traditional_iras,text,"0","[504.000, 407.970, 576.000, 419.969]"
f1_11[0],part1_line3_add_lines1_and_2,text,"0","[504.000, 395.968, 576.000, 407.967]"
f1_12[0],part1_line4_contributions_made_after_year_end_for_tax_year,text,"0","[504.000, 323.968, 576.000, 335.967]"
f1_13[0],part1_line5_line3_minus_line4,text,"0","[504.000, 311.969, 576.000, 323.968]"
f1_14[0],part1_line6_dec31_value_all_traditional_sep_simple_iras,text,"0","[504.000, 275.969, 576.000, 287.968]"
f1_15[0],part1_line7_distributions_excluding_rollovers_and_other_exclusions,text,"0","[504.000, 227.970, 576.000, 239.969]"
f1_16[0],part1_line8_net_amount_converted_to_roth,text,"0","[504.000, 203.969, 576.000, 215.968]"
f1_17[0],part1_line9_add_lines6_7_8,text,"0","[410.400, 191.970, 481.650, 203.969]"
f1_18[0],part1_line10_ratio_whole_part,text,"0","[432.000, 167.969, 446.400, 179.968]"
f1_19[0],part1_line10_ratio_decimal_part,text,"0","[453.600, 167.969, 481.650, 179.968]"
f1_20[0],part1_line11_nontaxable_portion_converted_amount,text,"0","[410.400, 143.968, 481.650, 155.967]"
f1_21[0],part1_line12_nontaxable_portion_distributions_not_converted,text,"0","[410.400, 119.970, 481.650, 131.969]"
f1_22[0],part1_line13_total_nontaxable_distributions,text,"0","[504.000, 107.968, 576.000, 119.967]"
f1_23[0],part1_line14_total_basis_end_of_year,text,"0","[504.000, 95.969, 576.000, 107.968]"
f2_01[0],part1_line15a_line7_minus_line12,text,"1","[504.000, 719.968, 576.000, 731.967]"
f2_02[0],part1_line15b_qualified_disaster_distributions_amount,text,"1","[504.000, 683.968, 576.000, 695.967]"
f2_03[0],part1_line15c_taxable_amount,text,"1","[504.000, 635.969, 576.000, 647.968]"
f2_04[0],part2_line16_net_amount_converted_to_roth,text,"1","[504.000, 563.969, 576.000, 575.968]"
f2_05[0],part2_line17_basis_in_converted_amount,text,"1","[504.000, 539.968, 576.000, 551.967]"
f2_06[0],part2_line18_taxable_conversion_amount,text,"1","[504.000, 515.970, 576.000, 527.969]"
f2_07[0],part3_line19_total_nonqualified_roth_distributions,text,"1","[504.000, 419.969, 576.000, 431.968]"
f2_08[0],part3_line20_qualified_first_time_homebuyer_expenses,text,"1","[504.000, 395.968, 576.000, 407.967]"
f2_09[0],part3_line21_line19_minus_line20,text,"1","[504.000, 383.969, 576.000, 395.968]"
f2_10[0],part3_line22_basis_in_roth_contributions,text,"1","[504.000, 371.970, 576.000, 383.969]"
f2_11[0],part3_line23_line21_minus_line22,text,"1","[504.000, 347.969, 576.000, 359.968]"
f2_12[0],part3_line24_basis_in_conversions_and_rollovers_to_roth,text,"1","[504.000, 323.968, 576.000, 335.967]"
f2_13[0],part3_line25a_line23_minus_line24,text,"1","[504.000, 311.969, 576.000, 323.968]"
f2_14[0],part3_line25b_qualified_disaster_distributions_amount,text,"1","[504.000, 275.969, 576.000, 287.968]"
f2_15[0],part3_line25c_taxable_amount,text,"1","[504.000, 227.970, 576.000, 239.969]"
f2_16[0],signature_taxpayer_if_filing_by_itself,text,"1","[94.600, 143.968, 236.850, 157.969]"
f2_17[0],signature_date_if_filing_by_itself,text,"1","[505.000, 143.968, 576.000, 157.969]"
f2_18[0],paid_preparer_name_and_signature,text,"1","[140.600, 131.969, 452.850, 143.968]"
f2_19[0],paid_preparer_firm_name_or_address,text,"1","[493.600, 131.969, 576.000, 143.968]"
f2_20[0],paid_preparer_ptin,text,"1","[148.600, 119.970, 452.850, 131.969]"
f2_21[0],paid_preparer_firm_ein_or_phone,text,"1","[493.600, 119.970, 576.000, 131.969]"
