old_field_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
c2_6[1],copyOther_box6_long_term,checkbox,"2,3,5","[144.000, 410.502, 152.000, 418.502]"
c2_6[2],copyOther_box6_ordinary,checkbox,"2,3,5","[216.000, 422.501, 224.000, 430.501]"
c2_7[0],copyOther_box7_check_if_1f_is_only_cash,checkbox,"2,3,5","[376.399, 410.502, 384.399, 418.502]"
c2_8[0],copyOther_box8_broker_relied_on_customer_provided_acquisition_information,checkbox,"2,3,5","[477.199, 410.502, 485.199, 418.502]"
c2_9[0],copyOther_box9_digital_asset_is_noncovered_security,checkbox,"2,3,5","[109.999, 356.502, 117.999, 364.502]"
c2_11a[0],copyOther_box11a_qualifying_stablecoins,checkbox,"2,3,5","[403.200, 368.501, 411.200, 376.501]"
c2_11a[1],copyOther_box11a_specified_nfts,checkbox,"2,3,5","[403.200, 356.502, 411.200, 364.502]"
f2_1[0],copyOther_filer_name,text,"2,3,5","[52.400, 720.000, 294.450, 746.000]"
f2_2[0],copyOther_filer_street_address,text,"2,3,5","[52.400, 695.999, 208.050, 710.000]"
f2_3[0],copyOther_filer_room_or_suite_no,text,"2,3,5","[209.800, 695.999, 294.450, 710.000]"
f2_4[0],copyOther_filer_city_or_town,text,"2,3,5","[52.400, 671.998, 208.050, 685.999]"
f2_5[0],copyOther_filer_telephone_number,text,"2,3,5","[209.800, 671.998, 294.450, 685.999]"
f2_6[0],copyOther_filer_state_or_province,text,"2,3,5","[52.400, 648.000, 172.050, 662.001]"
f2_7[0],copyOther_filer_country,text,"2,3,5","[173.800, 648.000, 208.050, 662.001]"
f2_8[0],copyOther_filer_zip_or_foreign_postal_code,text,"2,3,5","[209.800, 648.000, 294.450, 662.001]"
f2_9[0],copyOther_filer_tin,text,"2,3,5","[52.400, 612.000, 172.050, 624.000]"
f2_10[0],copyOther_recipient_tin,text,"2,3,5","[173.800, 612.000, 294.450, 624.000]"
f2_11[0],copyOther_recipient_name,text,"2,3,5","[52.400, 576.000, 294.450, 602.000]"
f2_12[0],copyOther_recipient_street_address,text,"2,3,5","[52.400, 551.999, 244.050, 566.000]"
f2_13[0],copyOther_recipient_apt_no,text,"2,3,5","[245.800, 551.999, 294.450, 566.000]"
f2_14[0],copyOther_recipient_city_or_town,text,"2,3,5","[52.400, 527.998, 294.450, 541.999]"
f2_15[0],copyOther_recipient_state_or_province,text,"2,3,5","[52.400, 504.000, 172.050, 518.001]"
f2_16[0],copyOther_recipient_country,text,"2,3,5","[173.800, 504.000, 208.050, 518.001]"
f2_17[0],copyOther_recipient_zip_or_foreign_postal_code,text,"2,3,5","[209.800, 504.000, 294.450, 518.001]"
f2_18[0],copyOther_account_number,text,"2,3,5","[52.400, 479.999, 294.450, 494.000]"
f2_19[0],copyOther_cusip_number,text,"2,3,5","[52.400, 450.000, 294.450, 469.999]"
f2_20[0],copyOther_box1a_code_for_digital_asset,text,"2,3,5","[296.200, 708.001, 424.050, 746.000]"
f2_21[0],copyOther_box1b_name_of_digital_asset,text,"2,3,5","[296.200, 684.000, 496.050, 698.001]"
f2_22[0],copyOther_box1c_number_of_units,text,"2,3,5","[296.200, 648.000, 496.050, 674.000]"
f2_23[0],copyOther_box1d_and_1e_dates,text,"2,3,5","[296.200, 612.000, 496.050, 624.000]"
f2_24[0],copyOther_box1d_date_acquired,text,"2,3,5","[296.200, 576.000, 395.250, 587.999]"
f2_25[0],copyOther_box1e_date_sold_or_disposed,text,"2,3,5","[397.000, 576.000, 496.050, 587.999]"
f2_26[0],copyOther_box1f_proceeds,text,"2,3,5","[305.200, 552.002, 395.000, 564.001]"
f2_27[0],copyOther_box1g_cost_or_other_basis,text,"2,3,5","[406.000, 552.002, 495.800, 564.001]"
f2_28[0],copyOther_box1h_accrued_market_discount,text,"2,3,5","[305.200, 528.001, 395.000, 540.000]"
f2_29[0],copyOther_box1i_wash_sale_loss_disallowed,text,"2,3,5","[406.000, 528.001, 495.800, 540.000]"
f2_30[0],copyOther_box4_federal_income_tax_withheld,text,"2,3,5","[406.000, 450.000, 495.800, 461.999]"
f2_31[0],copyOther_box11b_number_of_transactions,text,"2,3,5","[52.400, 306.000, 128.850, 317.999]"
f2_32[0],copyOther_box11c_aggregate_gross_proceeds_of_specified_nfts,text,"2,3,5","[139.600, 306.000, 265.400, 317.999]"
f2_33[0],copyOther_box12a_number_of_units_transferred_in_1,text,"2,3,5","[267.400, 330.001, 395.000, 342.000]"
f2_34[0],copyOther_box12a_number_of_units_transferred_in_2,text,"2,3,5","[267.400, 318.002, 395.000, 330.001]"
f2_35[0],copyOther_box12a_number_of_units_transferred_in_3,text,"2,3,5","[267.400, 306.000, 395.000, 317.999]"
f2_36[0],copyOther_box12b_transfer_in_date,text,"2,3,5","[397.000, 306.000, 496.050, 317.999]"
f2_37[0],copyOther_box14_state_name_1,text,"2,3,5","[52.400, 282.002, 229.400, 294.001]"
f2_38[0],copyOther_box14_state_name_2,text,"2,3,5","[52.400, 270.000, 229.400, 281.999]"
f2_39[0],copyOther_box15_state_identification_no_1,text,"2,3,5","[231.400, 282.002, 409.400, 294.001]"
f2_40[0],copyOther_box15_state_identification_no_2,text,"2,3,5","[231.400, 270.000, 409.400, 281.999]"
f2_41[0],copyOther_box16_state_tax_withheld_1,text,"2,3,5","[417.600, 282.002, 576.000, 294.001]"
f2_42[0],copyOther_box16_state_tax_withheld_2,text,"2,3,5","[417.600, 270.000, 576.000, 281.999]"
